date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio
2024-02-05,16633.62,14,27,65,151,61.4,62.8,173.2
2024-02-06,16787.75,20,42,111,172,71.2,68.5,173.6
2024-02-07,16837.06,17,38,70,201,66.5,60.9,170.8
2024-02-08,16883.58,23,43,104,139,57.0,57.7,170.6
2024-02-09,17025.79,27,62,91,207,71.0,64.6,173.0
2024-02-12,16911.16,25,60,107,214,44.3,54.8,166.3
2024-02-13,17003.02,22,35,83,206,60.3,66.4,171.8
2024-02-14,17278.33,16,25,78,132,75.6,69.5,176.8
2024-02-15,17457.3,6,25,44,129,78.3,67.5,174.5
2024-02-16,17391.66,12,50,116,148,46.7,57.7,168.0
2024-02-19,17475.27,14,23,60,160,62.1,65.2,171.8
2024-02-20,17435.32,12,30,86,168,49.7,55.1,168.6
2024-02-21,17373.24,20,29,91,120,51.5,51.1,167.8
2024-02-22,17515.65,22,46,66,119,69.6,65.7,173.1
2024-02-23,17543.31,9,33,86,135,52.6,63.4,170.5
2024-02-26,17583.02,9,36,53,114,60.7,59.1,170.8
2024-02-27,17572.88,3,32,51,115,56.1,55.8,169.7
2024-02-28,17552.47,13,30,53,120,51.5,58.3,169.1
2024-02-29,17580.06,27,54,99,175,52.4,61.6,169.9
