date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio
2024-03-01,17542.42,7,27,49,142,49.1,59.0,168.8
2024-03-04,17410.25,24,67,150,206,38.8,53.9,165.9
2024-03-05,17588.92,14,32,55,139,75.1,70.6,174.2
2024-03-06,17536.07,17,36,55,125,52.3,58.9,168.2
2024-03-07,17509.71,10,30,79,104,48.9,60.5,169.0
2024-03-08,17416.52,13,35,105,141,46.9,52.7,167.2
2024-03-11,17375.0,19,37,80,161,56.0,57.5,168.4
2024-03-12,17346.29,17,25,78,133,57.1,60.1,168.8
2024-03-13,17534.85,17,35,99,152,69.7,70.8,174.4
2024-03-14,17401.23,27,59,110,166,37.7,48.6,165.8
2024-03-15,17484.57,12,25,42,125,58.9,64.3,171.8
2024-03-18,17248.11,42,84,184,270,36.3,43.8,162.7
2024-03-19,17282.66,10,32,76,146,64.2,58.6,170.6
2024-03-20,17256.08,5,23,78,138,46.0,53.0,169.2
2024-03-21,17303.11,15,29,103,149,61.2,60.0,170.8
2024-03-22,17088.33,46,99,170,276,43.0,43.7,163.1
2024-03-25,17335.87,12,46,100,196,79.3,73.7,176.2
2024-03-26,17374.21,19,33,92,188,55.3,58.3,170.5
2024-03-27,17431.75,5,15,37,138,53.6,61.9,171.3
2024-03-28,17348.29,25,39,89,190,41.7,52.6,167.1
2024-03-29,17537.69,12,48,74,146,69.4,68.9,174.6
